"","film","rotten_tomatoes","metacritic","cinema_score","critics_choice"
"1","Toy Story",100,95,"A",NA
"2","A Bug's Life",92,77,"A",NA
"3","Toy Story 2",100,88,"A+",100
"4","Monsters, Inc.",96,79,"A+",92
"5","Finding Nemo",99,90,"A+",97
"6","The Incredibles",97,90,"A+",88
"7","Cars",74,73,"A",89
"8","Ratatouille",96,96,"A",91
"9","WALL-E",95,95,"A",90
"10","Up",98,88,"A+",95
"11","Toy Story 3",98,92,"A",97
"12","Cars 2",40,57,"A-",67
"13","Brave",78,69,"A",81
"14","Monsters University",80,65,"A",79
"15","Inside Out",98,94,"A",93
"16","The Good Dinosaur",76,66,"A",75
"17","Finding Dory",94,77,"A",89
"18","Cars 3",69,59,"A",66
"19","Coco",97,81,"A+",89
"20","Incredibles 2",93,80,"A+",86
"21","Toy Story 4",97,84,"A",94
"22","Onward",88,61,"A-",79
"23","Soul",96,83,NA,93
"24","Luca",NA,NA,NA,NA
